"","YOB","GrandParentType","CoupleType","BirthPlaceMom","BirthPlaceDad","LAHusband","LAWife","HusbandEducation","WifeEducation","Husband_ftotval","Fertility"
"1",1984,"Hispanic maternal grandfather","White-Hispanic","USA","USA",0,1,14,14,11.4980535507202,3
"2",1984,"Hispanic maternal grandfather","White-White","Colombia","USA",0,0,14,14,11.2307367324829,2
"3",1984,"Hispanic maternal grandfather","White-White","Mexico","USA",0,0,10.7777777777778,10.7777777777778,10.2698595046997,2.71428571428571
"4",1984,"Hispanic maternal grandfather","White-White","USA","USA",0,0,14.376,14.376,10.7851820309957,2.9046052631579
"5",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","Colombia","Colombia",1,1,10.5,10.5,9.81644153594971,2.4
"6",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","Cuba","Cuba",1,1,14.8888888888889,14.8888888888889,11.3541879653931,2
"7",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","Dominican Republic","Dominican Republic",1,1,14,14,9.80146646499634,1.66666666666667
"8",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","Ecuador","Ecuador",1,1,14,14,9.53502941131592,1.77777777777778
"9",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","El Salvador","El Salvador",1,1,8.85714285714286,8.85714285714286,10.6955728530884,3
"10",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","El Salvador","Mexico",1,1,9,9,9.352707862854,2.57142857142857
"11",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","Guatemala","Colombia",1,1,14,14,10.528281211853,1
"12",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","Guatemala","Guatemala",1,1,11,11,10.0819535255432,3
"13",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","Mexico","Guatemala",1,1,8,8,9.79739379882812,4
"14",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","Mexico","Mexico",1,1,8.27483443708609,8.27483443708609,9.9837622112698,3.52574525745257
"15",1984,"Hispanic paternal grandfather","Hispanic-Hispanic","USA","USA",1,1,13.6470588235294,13.6470588235294,10.3822178840637,2.77272727272727
"16",1984,"Hispanic paternal grandfather","White-White","Cuba","USA",0,0,14,14,11.4880571365356,2
"17",1984,"Hispanic paternal grandfather","White-White","El Salvador","USA",0,0,10,10,10.3194637298584,2.71428571428571
"18",1984,"Hispanic paternal grandfather","White-White","Mexico","USA",0,0,14,14,10.382327079773,2.47058823529412
"19",1984,"Hispanic paternal grandfather","White-White","USA","El Salvador",0,0,10,10,10.769603729248,2
"20",1984,"Hispanic paternal grandfather","White-White","USA","Mexico",0,0,10,10,10.2220882839627,3.7037037037037
"21",1984,"Hispanic paternal grandfather","White-White","USA","USA",0,0,13.1450381679389,13.1450381679389,10.5498412347609,2.63805970149254
"22",1984,"Hispanic paternal grandmother","Hispanic-Hispanic","Mexico","Mexico",1,1,10.8,10.8,9.77141761779785,4
"23",1984,"Hispanic paternal grandmother","White-White","USA","Mexico",0,0,0,0,8.26087188720703,3.66666666666667
"24",1984,"Hispanic paternal grandmother","White-White","USA","USA",0,0,14.3246753246753,14.3246753246753,10.7843221936907,2.72857142857143
"25",1985,"Hispanic maternal grandfather","Hispanic-Hispanic","Mexico","Mexico",1,1,10,10,10.4776372909546,5
"26",1985,"Hispanic maternal grandfather","White-White","El Salvador","USA",0,0,9,9,10.8567848205566,3
"27",1985,"Hispanic maternal grandfather","White-White","Mexico","USA",0,0,15.5,15.5,10.4665562311808,2.36363636363636
"28",1985,"Hispanic maternal grandfather","White-White","USA","USA",0,0,14.4514285714286,14.4514285714286,10.9721465755153,2.74863387978142
"29",1985,"Hispanic paternal grandfather","Hispanic-Hispanic","Colombia","Colombia",1,1,14,14,10.3744490941366,2.3125
"30",1985,"Hispanic paternal grandfather","Hispanic-Hispanic","Dominican Republic","Dominican Republic",1,1,8.5,8.5,10.3552865982056,2.875
"31",1985,"Hispanic paternal grandfather","Hispanic-Hispanic","Ecuador","Ecuador",1,1,13.25,13.25,11.1027894020081,1.57142857142857
"32",1985,"Hispanic paternal grandfather","Hispanic-Hispanic","Ecuador","Mexico",1,1,10,10,11.1071109771729,3
"33",1985,"Hispanic paternal grandfather","Hispanic-Hispanic","El Salvador","El Salvador",1,1,11.1818181818182,11.1818181818182,10.5916485786438,3
"34",1985,"Hispanic paternal grandfather","Hispanic-Hispanic","Mexico","Mexico",1,1,7.7887323943662,7.7887323943662,9.95017298460007,3.41408450704225
"35",1985,"Hispanic paternal grandfather","Hispanic-Hispanic","Nicaragua","Nicaragua",1,1,14,14,10.4304370880127,3.22222222222222
"36",1985,"Hispanic paternal grandfather","Hispanic-Hispanic","Peru","Peru",1,1,15,15,10.4546480178833,2
"37",1985,"Hispanic paternal grandfather","Hispanic-Hispanic","USA","USA",1,1,14,14,10.0655579566956,2.3
"38",1985,"Hispanic paternal grandfather","White-White","Mexico","USA",0,0,11,11,10.451319694519,3
"39",1985,"Hispanic paternal grandfather","White-White","USA","Cuba",0,0,15.5,15.5,11.6600608825684,2
"40",1985,"Hispanic paternal grandfather","White-White","USA","Mexico",0,0,11.9333333333333,11.9333333333333,10.2071676254272,3.50847457627119
"41",1985,"Hispanic paternal grandfather","White-White","USA","USA",0,0,13.40625,13.40625,10.6127833953271,2.71024734982332
"42",1985,"Hispanic paternal grandmother","White-White","Mexico","USA",0,0,11,11,10.100248336792,1
"43",1985,"Hispanic paternal grandmother","White-White","USA","USA",0,0,14.0833333333333,14.0833333333333,10.5558692216873,2.73076923076923
"44",1986,"Hispanic maternal grandfather","White-White","Cuba","USA",0,0,16,16,10.0705471038818,2.33333333333333
"45",1986,"Hispanic maternal grandfather","White-White","Mexico","USA",0,0,14,14,10.7599611282349,2.38095238095238
"46",1986,"Hispanic maternal grandfather","White-White","USA","USA",0,0,14.3857142857143,14.3857142857143,10.9262709250817,2.7247311827957
"47",1986,"Hispanic paternal grandfather","Hispanic-Hispanic","Colombia","Colombia",1,1,12.5714285714286,12.5714285714286,10.3593587875366,2.41666666666667
"48",1986,"Hispanic paternal grandfather","Hispanic-Hispanic","Cuba","Cuba",1,1,11.1818181818182,11.1818181818182,10.9031999588013,2.04
"49",1986,"Hispanic paternal grandfather","Hispanic-Hispanic","Dominican Republic","Dominican Republic",1,1,14,14,9.73824214935303,2.4
"50",1986,"Hispanic paternal grandfather","Hispanic-Hispanic","Ecuador","Ecuador",1,1,16,16,10.382327079773,2.77777777777778
"51",1986,"Hispanic paternal grandfather","Hispanic-Hispanic","El Salvador","El Salvador",1,1,8.33333333333333,8.33333333333333,9.70143013000488,2.95238095238095
"52",1986,"Hispanic paternal grandfather","Hispanic-Hispanic","Guatemala","Guatemala",1,1,8.06666666666667,8.06666666666667,10.6634497642517,2.58823529411765
"53",1986,"Hispanic paternal grandfather","Hispanic-Hispanic","Mexico","Mexico",1,1,8.11783439490446,8.11783439490446,10.0130753597971,3.45336787564767
"54",1986,"Hispanic paternal grandfather","Hispanic-Hispanic","USA","Dominican Republic",1,1,14,14,11.3828277587891,4
"55",1986,"Hispanic paternal grandfather","Hispanic-Hispanic","USA","USA",1,1,13,13,10.3625364303589,2.05882352941176
"56",1986,"Hispanic paternal grandfather","White-Hispanic","USA","USA",0,1,12.3333333333333,12.3333333333333,10.4471807479858,2.53333333333333
"57",1986,"Hispanic paternal grandfather","White-White","Mexico","USA",0,0,10.8947368421053,10.8947368421053,10.1710856755575,2.5
"58",1986,"Hispanic paternal grandfather","White-White","USA","Cuba",0,0,16,16,11.240385055542,2
"59",1986,"Hispanic paternal grandfather","White-White","USA","Mexico",0,0,10.1111111111111,10.1111111111111,10.2131283018324,3.4390243902439
"60",1986,"Hispanic paternal grandfather","White-White","USA","Peru",0,0,14,14,11.6602802276611,2.5
"61",1986,"Hispanic paternal grandfather","White-White","USA","USA",0,0,13.5810810810811,13.5810810810811,10.5594396333437,2.87387387387387
"62",1986,"Hispanic paternal grandmother","Hispanic-Hispanic","Mexico","Mexico",1,1,8.4,8.4,9.54269218444824,3.5
"63",1986,"Hispanic paternal grandmother","White-White","USA","Mexico",0,0,0,0,8.26087188720703,4
"64",1986,"Hispanic paternal grandmother","White-White","USA","USA",0,0,14.0875,14.0875,10.6725361824036,2.70165745856354
